year,hs_id,pci
2000,073922,0.591295
2000,073923,0.371953
2000,074001,-2.64987
2000,074002,1.15917
2000,074003,-0.23258
2000,074005,0.837183
2000,074010,1.10668
2000,074011,0.221382
2000,074012,-0.072351
2000,074014,-0.00775
2000,074015,-1.33227
2000,074016,0.776582
2000,084101,-0.912796
2000,084102,-1.25551
2000,084103,-1.8656
2000,084104,-0.961956
2000,084105,-1.68272
2000,084106,-1.53827
2000,084108,-0.550193
2000,084110,-1.02301
2000,084111,0.336578
2000,084201,-0.340119
2000,084203,-1.04013
2000,084204,0.26931
2000,084205,-0.445177
2000,084206,-1.49965
2000,084301,0.18949
2000,084302,0.01141
2000,094402,-1.13786
2000,094405,-0.167036
2000,094406,-0.840573
2000,094407,-0.57878
2000,094408,-0.762987
2000,094410,0.138798
2000,094411,-0.025167
2000,094412,-0.862303
2000,094414,-1.44548
2000,094415,0.393996
2000,094416,0.34811
2000,094417,-0.918208
2000,094418,-0.315476
2000,094503,-0.780057
2000,094601,-1.89299
2000,104702,0.471534
2000,104703,0.152372
2000,104704,0.760185
2000,104707,0.628052
2000,104801,0.464327
2000,104802,1.02998
2000,104803,0.459642
2000,104804,0.565108
2000,104805,0.761386
2000,104807,0.923189
2000,104809,1.16836
2000,104817,0.868354
2000,104818,0.739344
2000,104819,0.475798
2000,104820,-0.490625
2000,104822,0.656461
2000,104902,0.660004
2000,104904,1.21815
2000,104905,0.421564
2000,104908,0.134654
2000,115002,-1.51287
2000,115004,-0.687455
2000,115007,-0.681887
2000,115101,-1.5638
2000,115105,-0.506679
2000,115112,0.35892
2000,115201,-2.25594
2000,115202,-1.67942
2000,115206,-1.31653
2000,115208,-1.3432
2000,115301,0.027686
2000,115302,-0.400281
2000,115304,-1.58752
2000,115305,-1.78981
2000,115309,0.271172
2000,115310,-1.66728
2000,115408,0.242163
2000,115501,0.181141
2000,115502,0.7752
2000,115503,0.16985
2000,115505,0.220781
2000,115506,-0.036158
2000,115509,0.384686
2000,115510,-0.098333
2000,115511,0.010089
